DFDC Polar DATA
 -9.01753306E-02 -0.546377003       1.10741500E-02
 -8.72664675E-02 -0.529766142       1.09877829E-02
 -8.43575820E-02 -0.513023794       1.09034497E-02
 -8.14486891E-02 -0.496159524       1.08211692E-02
 -7.85398185E-02 -0.479182333       1.07409684E-02
 -7.56309330E-02 -0.462100476       1.06628723E-02
 -7.27220401E-02 -0.444921941       1.05869099E-02
 -6.98131695E-02 -0.427654237       1.05131092E-02
 -6.69042692E-02 -0.410304010       1.04415026E-02
 -6.39953986E-02 -0.392878056       1.03721190E-02
 -6.10865280E-02 -0.375382215       1.03049874E-02
 -5.81776202E-02 -0.357821822       1.02401348E-02
 -5.52687496E-02 -0.340202540       1.01775900E-02
 -5.23598790E-02 -0.322528929       1.01173781E-02
 -4.94509749E-02 -0.304805219       1.00595225E-02
 -4.65421043E-02 -0.287036002       1.00040473E-02
 -4.36332338E-02 -0.269224763       9.95097309E-03
 -4.07243297E-02 -0.251374900       9.90032032E-03
 -3.78154553E-02 -0.233489990       9.85210668E-03
 -3.49065848E-02 -0.215572879       9.80635080E-03
 -3.19976807E-02 -0.197626054       9.76306573E-03
 -2.90888101E-02 -0.179652482       9.72226728E-03
 -2.61799395E-02 -0.161654308       9.68396943E-03
 -2.32710354E-02 -0.143633440       9.64818243E-03
 -2.03621648E-02 -0.125592276       9.61491931E-03
 -1.74532924E-02 -0.107532412       9.58418660E-03
 -1.45443892E-02  -8.94553438E-02   9.55599546E-03
 -1.16355177E-02  -7.13630095E-02   9.53035522E-03
 -8.72664619E-03  -5.32566346E-02   9.50727053E-03
 -5.81774162E-03  -3.51373143E-02   9.48674884E-03
 -2.90887081E-03  -1.70066804E-02   9.46879759E-03
  0.00000000       1.13435579E-03   9.45341866E-03
  2.90890434E-03   1.92849692E-02   9.44061950E-03
  5.81777561E-03   3.74437794E-02   9.43040289E-03
  8.72664619E-03   5.56101017E-02   9.42277163E-03
  1.16355512E-02   7.37833083E-02   9.41773131E-03
  1.45444218E-02   9.19621959E-02   9.41528287E-03
  1.74532924E-02  0.110146254       9.41542815E-03
  2.03621965E-02  0.128334984       9.41816997E-03
  2.32710671E-02  0.146527335       9.42350924E-03
  2.61799395E-02  0.164722875       9.43144783E-03
  2.90888436E-02  0.182921216       9.44198575E-03
  3.19977142E-02  0.201121360       9.45512485E-03
  3.49065848E-02  0.219322979       9.47086513E-03
  3.78154926E-02  0.237525731       9.48920473E-03
  4.07243632E-02  0.255728632       9.51014552E-03
  4.36332338E-02  0.273931324       9.53368656E-03
  4.65421341E-02  0.292133540       9.55982599E-03
  4.94510084E-02  0.310334295       9.58856381E-03
  5.23598790E-02  0.328533262       9.61989723E-03
  5.52687868E-02  0.346730053       9.65382624E-03
  5.81776574E-02  0.364923656       9.69034713E-03
  6.10865280E-02  0.383113682       9.72945802E-03
  6.39954284E-02  0.401299626       9.77115519E-03
  6.69042990E-02  0.419480532       9.81543586E-03
  6.98131695E-02  0.437655807       9.86229721E-03
  7.27220774E-02  0.455824912       9.91173461E-03
  7.56309479E-02  0.473986626       9.96374153E-03
  7.85398185E-02  0.492140234       1.00183133E-02
  8.14487264E-02  0.510285079       1.00754444E-02
  8.43575969E-02  0.528419673       1.01351272E-02
  8.72664675E-02  0.546543181       1.01973554E-02
  9.01753753E-02  0.564654708       1.02621214E-02
  9.30842385E-02  0.582752347       1.03294132E-02
  9.59931165E-02  0.600835145       1.03992205E-02
  9.89020169E-02  0.618901670       1.04715368E-02
 0.101810887      0.636949956       1.05463453E-02
 0.104719758      0.654978454       1.06236320E-02
 0.107628666      0.672985435       1.07033849E-02
 0.110537529      0.690968335       1.07855853E-02
 0.113446407      0.708925247       1.08702164E-02
 0.116355315      0.726853848       1.09572588E-02
 0.119264178      0.744750977       1.10466890E-02
 0.122173056      0.762614131       1.11384857E-02
 0.125081956      0.780440152       1.12326229E-02
 0.127990827      0.798225343       1.13290725E-02
 0.130899698      0.815966308       1.14278058E-02
 0.133808598      0.833659053       1.15287919E-02
 0.136717469      0.851298988       1.16319945E-02
 0.139626339      0.868881702       1.17373802E-02
 0.142535254      0.886402249       1.18449107E-02
 0.145444125      0.903854787       1.19545422E-02
 0.148352996      0.921233654       1.20662339E-02
 0.151261896      0.938532889       1.21799419E-02
 0.154170766      0.955745220       1.22956196E-02
 0.157079637      0.972863674       1.24132214E-02
 0.159988537      0.989880741       1.25326999E-02
 0.162897423       1.00678790       1.26540083E-02
 0.165806279       1.02357638       1.27770994E-02
 0.168715194       1.04023731       1.29019292E-02
 0.171624050       1.05676019       1.30284578E-02
 0.174532935       1.07313538       1.31566525E-02
 0.177441835       1.08935177       1.32864816E-02
 0.180350706       1.10539782       1.34179257E-02
 0.183259577       1.12126184       1.35509772E-02
 0.186168477       1.13693166       1.36856409E-02
 0.189077362       1.15239453       1.38219390E-02
 0.191986233       1.16763747       1.39599172E-02
 0.194895133       1.18264723       1.40996380E-02
 0.197804004       1.19741035       1.42411944E-02
 0.200712860       1.21191335       1.43847167E-02
 0.203621775       1.22614312       1.45303681E-02
 0.206530631       1.24008572       1.46783423E-02
 0.209439516       1.25372863       1.48288961E-02
 0.212348431       1.26705945       1.49823204E-02
 0.215257332       1.28006577       1.51389614E-02
 0.218166158       1.29273617       1.52992224E-02
 0.221075058       1.30506086       1.54635673E-02
 0.223983973       1.31703019       1.56325176E-02
 0.226892814       1.32863569       1.58066470E-02
 0.229801714       1.33987069       1.59866102E-02
 0.232710630       1.35072970       1.61731038E-02
 0.235619456       1.36120808       1.63668822E-02
 0.238528356       1.37130404       1.65687725E-02
 0.241437256       1.38101614       1.67796332E-02
 0.244346112       1.39034498       1.70003697E-02
 0.247255012       1.39929295       1.72319356E-02
 0.250163913       1.40786374       1.74753033E-02
 0.253072739       1.41606236       1.77314617E-02
 0.255981654       1.42389584       1.80014446E-02
 0.258890569       1.43137205       1.82862617E-02
 0.261799395       1.43849993       1.85869168E-02
 0.264708310       1.44528985       1.89044327E-02
 0.267617196       1.45175278       1.92397851E-02
 0.270526052       1.45790052       1.95939392E-02
 0.273434937       1.46374559       1.99678242E-02
 0.276343852       1.46930110       2.03623381E-02
 0.279252678       1.47457993       2.07783170E-02
 0.282161593       1.47959578       2.12165862E-02
 0.285070509       1.48436201       2.16778964E-02
 0.287979335       1.48889184       2.21629329E-02
 0.290888250       1.49319899       2.26723943E-02
 0.293797165       1.49729633       2.32068673E-02
 0.296705991       1.50119638       2.37668920E-02
 0.299614877       1.50491166       2.43530050E-02
 0.302523792       1.50845432       2.49656606E-02
 0.305432647       1.51183534       2.56052483E-02
 0.308341533       1.51506615       2.62721740E-02
 0.311250418       1.51815689       2.69667488E-02
 0.314159274       1.52111769       2.76892614E-02
 0.317068189       1.52395773       2.84399912E-02
 0.319977075       1.52668607       2.92191394E-02
 0.322885931       1.52931094       3.00268959E-02
 0.325794846       1.53184021       3.08634527E-02
 0.328703731       1.53428113       3.17289308E-02
 0.331612557       1.53664052       3.26234326E-02
 0.334521472       1.53892493       3.35471109E-02
 0.337430388       1.54114008       3.45000029E-02
 0.340339214       1.54329157       3.54821607E-02
 0.343248099       1.54538465       3.64936739E-02
 0.346157044       1.54742384       3.75345871E-02
 0.349065870       1.54941344       3.86048555E-02
 0.351974756       1.55135798       3.97045687E-02
 0.354883671       1.55326080       4.08337414E-02
 0.357792497       1.55512536       4.19922918E-02
 0.360701412       1.55695486       4.31803092E-02
 0.363610327       1.55875254       4.43977714E-02
 0.366519153       1.56052065       4.56445813E-02
 0.369428039       1.56226182       4.69208360E-02
 0.372336954       1.56397843       4.82264608E-02
 0.375245780       1.56567240       4.95614000E-02
 0.378154725       1.56734574       5.09257428E-02
 0.381063581       1.56900024       5.23193516E-02
 0.383972466       1.57063746       5.37422672E-02
 0.386881351       1.57225895       5.51944524E-02
 0.389790267       1.57386589       5.66758737E-02
 0.392699093       1.57545960       5.81864789E-02
 0.395608008       1.57704139       5.97263165E-02
 0.398516893       1.57861209       6.12953044E-02
 0.401425719       1.58017254       6.28933907E-02
 0.404334635       1.58172405       6.45206273E-02
 0.407243550       1.58326697       6.61770031E-02
 0.410152406       1.58480227       6.78623840E-02
 0.413061261       1.58633053       6.95768222E-02
 0.415970176       1.58785236       7.13203251E-02
 0.418879032       1.58936822       7.30928108E-02
 0.421787947       1.59087884       7.48943388E-02
 0.424696863       1.59238470       7.67247975E-02
 0.427605689       1.59388578       7.85841942E-02
 0.430514574       1.59538305       8.04725513E-02
 0.433423489       1.59687650       8.23898539E-02
 0.436332315       1.59836650       8.43360275E-02
 0.439241230       1.59985352       8.63111243E-02
 0.442150116       1.60133767       8.83151144E-02
 0.445059001       1.60281920       9.03479308E-02
 0.447967857       1.60429835       9.24096107E-02
 0.450876772       1.60577548       9.45001915E-02
 0.453785628       1.60725045       9.66195613E-02
 0.456694543       1.60872376       9.87677723E-02
 0.459603429       1.61019528      0.100944825
 0.462512255       1.61166549      0.103150606
 0.465421170       1.61313426      0.105385266
 0.468330085       1.61460173      0.107648708
 0.471238911       1.61606812      0.109940864
 0.474147797       1.61753333      0.112261876
 0.477056712       1.61899781      0.114611685
 0.479965538       1.62046123      0.116990164
 0.482874453       1.62192392      0.119397484
 0.485783398       1.62338603      0.121833563
 0.488692224       1.62484729      0.124298349
 0.491601110       1.62630796      0.126791880
 0.494510025       1.62776816      0.129314199
 0.497418851       1.62922788      0.131865174
 0.500327766       1.63068712      0.134444937
 0.503236651       1.63214600      0.137053430
 0.506145477       1.63360429      0.139690608
 0.509054422       1.63506246      0.142356634
 0.511963308       1.63652015      0.145051301
 0.514872134       1.63797772      0.147774622
 0.517781079       1.63943493      0.150526777
 0.520689964       1.64089191      0.153307602
 0.523598790       1.64234865      0.156117126
